Word,Frequency
bagus,20
sesuai,18
cepat,12
pesan,10
mantap,9
barang,8
kirim,8
moga,7
nya,6
baik,4
banget,4
worth,4
price,4
terima,3
kurir,3
order,3
toko,3
pupuk,3
amanah,3
kualitas,3
aman,3
ok,3
terimakasih,3
kasih,2
ramah,2
langgan,2
nyoba,2
awet,2
alhamdulillah,2
coba,2
packing,2
selamat,2
cocok,2
iya,1
sekian,1
kali,1
vegetatifgeneratif,1
vitamin,1
layan,1
deh,1
redi,1
wlw,1
beli,1
sukses,1
ukur,1
air,1
asin,1
akuarium,1
saran,1
bbrp,1
teman,1
sich,1
beneran,1
aplikasi,1
mantappppp,1
baguss,1
cpt,1
pekingrapi,1
mantab,1
rapi,1
kemas,1
murah,1
tikus,1
rumah,1
musnah,1
basah,1
expired,1
mantapp,1
oi,1
sangat,1
performa,1
kerja,1
nice,1
mau,1
tumbuh,1
keliru,1
buah,1
oesan,1
vvv,1
full,1
1,1
botol,1
yah,1
keren,1
sih,1
emas,1
ajib,1
produk,1
respon,1
pohon,1
mangga,1
satset,1
kaya,1
janda,1
ekspektasi,1
mah,1
puas,1
pokok,1
rekomendasi,1
pita,1
6,1
gulung,1
isi,1
step,1
les,1
oke,1
mudah,1
erti,1
c,1
mudah2an,1
manfaat,1
